哀兵必胜 骄兵必败
不共戴天 唇齿相依
不共戴天 你死我活
不够格 未入流
不管 不论
不管 无论
不过 不外
不合 分歧
不合错误 不对
不慌不忙 镇定自若
不及 不迭
不即不离 若即若离
不计其数 成千上万
不计其数 浩如烟海
不计其数 擢发难数
不骄不躁 不卑不亢
不进则退 逆水行舟
不胫而走 不翼而飞
不久 未几
不拘小节 落拓不羁
不决 未定
不可救药 病入膏肓
不可胜数 不计其数
不可胜数 寥若晨星
不可胜数 数不胜数
不可思议 不堪设想
不可思议 可想而知
不伦不类 不三不四
不论 不管
不名一文 囊空如洗
不谋而合 不约而同
不能自休 欲罢不能
不偶 数奇
不偏不倚 中庸之道
不期而遇 萍水相逢
不期而遇 邂逅相遇
不屈不挠 卑躬屈膝
不辱使命 幸不辱命
不三不四 不伦不类
不胜枚举 举不胜举
不胜枚举 不乏其人
不时 不断
不识时变 不识时务
不识时务 不识时变
不识抬举 不识好歹
不识一丁 不识之无
不识之无 不识一丁
不守妇道 不安于位
不速之客 不请自来
不同凡响 与众不同
不外 不过
不忘本 有良心
不为人知 鲜为人知
不闻不问 充耳不闻
不问可知 不言而喻
不相上下 并驾齐驱
不相上下 伯仲之间
不相上下 势均力敌
不祥 吉祥
不幸 可怜
不修边幅 蓬头垢面
不学无术 真才实学
不雅 不雅观
不雅观 不雅
不言而喻 不问可知
不要紧 没关系
不一而足 所在多有
不遗余力 尽力而为
不遗余力 尽心竭力
不以为意 漫不经心
不亦乐乎 不可开交
不翼而飞 不知去向
不用 不必
不用着急 毋须着急
不由 不禁
不由自主 情不自禁
不由自主 身不由己
不由自主 情不自禁
不由自主 情不自禁
不约而同 不谋而合
不曾 未曾
不知不觉 人不知鬼不觉
不知去向 不翼而飞
不知所措 手足无措
不只 不仅
不足介意 无足挂齿
不足为奇 难能可贵
布掸子 拂尘
布满 充满
布满 充满
布衣 平民
布衣之交 微时之交
布置 安排
步步为营 稳扎稳打
步队 队伍
步伐 步调
步履维艰 寸步难行
步履维艰 大步流星
步人后尘 不落窠臼
部队 军队
部分 局部
部分 部门
部门 部分
部署 安排
擦过 掠过
擦过 掠过
擦过 掠过
猜测 猜想
猜测 预测
猜测 预测
猜忌 猜疑
猜想 料想
猜疑 猜忌
才干 才华
才华 才干
才华盖世 才华出众
才能 才干
才能 能力
才气 才干
才气纵横 天才横溢
才人 秀士
才子 佳人
材料 资料
财富 财产
裁军 扩军
采购 洽购
采纳 采用
采取 采用
采用 采取
参差 错落
参加 加入
参军 从军
参谋 顾问
参与 参加
参与 介入
残暴 残酷
残兵败将 兵强马壮
残兵败将 坚甲利兵
残兵败将 散兵游勇
残花败柳 枯枝败叶
残酷 残暴
残忍 残暴
蚕食 鲸吞
惭愧 愧疚
惭愧 羞愧
惨白 苍白
惨恻 惨怆
惨怆 惨恻
惨淡经营 苦心孤诣
惨绝人寰 惨不忍睹
惨绝人寰 惨无人道
灿烂 残暴
仓促 匆促
仓促 仓皇
仓皇 仓促
沧海 桑田
苍凉 凄凉
苍茫 苍莽
苍莽 苍茫
苍穹 天穹
苍头 厮役
藏匿 隐匿
藏身 存身
藏身 安身
藏书楼 图书馆
操持 办理
操持 料理
操心 费心
操行 品行
操纵 把持
草本 木本
草率 轻率
草木皆兵 杯弓蛇影
草木皆兵 风声鹤唳
草木惊心 惊弓之鸟
侧重 着重
测量 丈量
测验 考试
策划 谋划
层次 档次
查访 察访
查询 查问
察访 查访
察觉 觉察
察看 观察
?女 少女
岔路 歧路
诧异 惊讶
姹紫嫣红 万紫千红
差别 差异
差错 错误
差遣 派遣
差遣 驱使
差异 差别
拆穿 戳穿
拆散 撮合
搀扶 扶持
搀和 搀杂
搀杂 搀和
搀杂 夹杂
缠绕 环绕
蟾宫仙子 月里嫦娥
产生 发生
产业 工业
谄媚 谄谀
谄谀 谄媚
铲除 革除
阐明 说明
阐述 论述
忏悔 懊悔
颤动 抖动
颤抖 发抖
昌盛 鼎盛
昌盛 繁荣
昌盛 兴盛
猖獗 猖狂
猖狂 猖獗
长处 优点
长短 是非
长官 主座
长进 上进
长久 久长
长年 终年
长日 永日
长生 永生
长寿 长命
长夜 永夜
长于 擅长
长吁短叹 唉声叹气
长远 久远
长远 深远
长子 宗子
尝尝 试试
常备不懈 枕戈待旦
常常 经常
常规 惯例
常年 长年
常年 终年
常人 凡人
场合 场所
场面 局面
场所 场合
怅然 欣然
怅惘 惘然
畅快 酣畅
畅谈 泛论
畅通流畅 流通
倡导 提倡
倡寮 妓院
倡议 倡导
倡议 建议
唱工 做工
抄录 抄写
抄袭 剽窃
抄写 缮写
超出 超越
超额 逾额
超凡 超常
超群脱俗 逸群绝俗
超越 超出
巢木居野 穴居野处
朝气 生气
朝气蓬勃 暮气沉沉
朝气蓬勃 萎靡不振
朝秦暮楚 朝三暮四
朝思暮想 梦寐以求
朝思暮想 念念不忘
朝思暮想 牵肠挂肚
朝霞 余晖
朝阳 向阳
朝阳 旭日
朝阳 向阳
朝阳 旭日
嘲讽 讥嘲
嘲笑 讥笑
潮湿 湿润
吵嚷 喧嚷
车水马龙 毂击肩摩
车载斗量 不可多得
扯谎 撒谎
扯谎 说谎
扯开 撕开
彻骨 透骨
撤除 拆除
撤离 撤退
撤退 退却
撤退 退却
撤消 取消
撤职 免职
撤职 革职
澈底 透澈
沉淀 积淀
沉寂 沉静
沉浸 沉迷
沉静 沉寂
沉沦 沉溺
沉没 淹没
沉没 淹没
沉闷 烦闷
沉迷 陷溺
沉湎 沉沦
沉默 缄默
沉默寡言 噤若寒蝉
沉溺 沉沦
沉思 寻思
沉稳 雀跃
沉重 繁重
沉着 冷静
沉着 镇静
沉醉 陶醉
陈词滥调 老生常谈
陈腐 陈旧
陈腐 迂腐
陈规 成规
陈旧 陈腐
陈列 摆设
陈列所 展览场
陈设 摆设
陈述 陈说
陈说 陈述
晨安 早安
晨风 晓风
晨光 晨曦
晨曦 晨光
衬托 烘托
衬托 陪衬
称号 名称
称呼 称说
称呼 称谓
称疾 托病
称颂 称赞
称谓 称呼
